lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0.01
c2 = 0.1
epochs = 2500
K_epochs = 5



[Model0] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model1] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model2] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model3] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model4] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]

[Model 12256] Epoch: 100, L_clip: -0.52, Squared loss: 0.01, Entropy loss: 0.07, Avg Rewards: -4.95, Time elapsed: 3.18s
[Model 12252] Epoch: 100, L_clip: -0.50, Squared loss: 0.01, Entropy loss: 0.07, Avg Rewards: -4.99, Time elapsed: 3.26s
[Model 12254] Epoch: 100, L_clip: -0.55, Squared loss: 0.02, Entropy loss: 0.07, Avg Rewards: -4.98, Time elapsed: 3.29s
[Model 12255] Epoch: 100, L_clip: -0.56, Squared loss: 0.02, Entropy loss: 0.07, Avg Rewards: -4.99, Time elapsed: 3.32s
[Model 12253] Epoch: 100, L_clip: -0.67, Squared loss: 0.02, Entropy loss: 0.07, Avg Rewards: -5.00, Time elapsed: 3.38s
[Model 12256] Epoch: 200, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.81, Time elapsed: 6.45s
[Model 12254] Epoch: 200, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.92, Time elapsed: 6.48s
[Model 12252] Epoch: 200, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.83, Time elapsed: 6.54s
[Model 12255] Epoch: 200, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.87, Time elapsed: 6.62s
[Model 12253] Epoch: 200, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.93, Time elapsed: 6.65s
[Model 12256] Epoch: 300, L_clip: -0.04, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.84, Time elapsed: 9.39s
[Model 12254] Epoch: 300, L_clip: 0.00, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.84, Time elapsed: 9.48s
[Model 12252] Epoch: 300, L_clip: 0.02, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.81, Time elapsed: 9.60s
[Model 12253] Epoch: 300, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.91, Time elapsed: 9.64s
[Model 12255] Epoch: 300, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.88, Time elapsed: 9.68s
[Model 12256] Epoch: 400, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.81, Time elapsed: 12.33s
[Model 12254] Epoch: 400, L_clip: 0.01, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.83, Time elapsed: 12.48s
[Model 12252] Epoch: 400, L_clip: -0.04, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.86, Time elapsed: 12.55s
[Model 12253] Epoch: 400, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.95, Time elapsed: 12.59s
[Model 12255] Epoch: 400, L_clip: 0.01, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.83, Time elapsed: 12.67s
[Model 12256] Epoch: 500, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.76, Time elapsed: 15.22s
[Model 12252] Epoch: 500, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.81, Time elapsed: 15.48s
[Model 12254] Epoch: 500, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.69, Time elapsed: 15.50s
[Model 12253] Epoch: 500, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.87, Time elapsed: 15.53s
[Model 12255] Epoch: 500, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.81, Time elapsed: 15.62s
[Model 12256] Epoch: 600, L_clip: 0.00, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.87, Time elapsed: 18.01s
[Model 12252] Epoch: 600, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.79, Time elapsed: 18.44s
[Model 12253] Epoch: 600, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.89, Time elapsed: 18.47s
[Model 12255] Epoch: 600, L_clip: 0.00, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.76, Time elapsed: 18.62s
[Model 12254] Epoch: 600, L_clip: 0.02, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.46, Time elapsed: 18.74s
[Model 12256] Epoch: 700, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.96, Time elapsed: 20.77s
[Model 12253] Epoch: 700, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.83, Time elapsed: 21.47s
[Model 12252] Epoch: 700, L_clip: 0.01, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.54, Time elapsed: 21.54s
[Model 12255] Epoch: 700, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.76, Time elapsed: 21.63s
[Model 12254] Epoch: 700, L_clip: -0.02, Squared loss: 0.03, Entropy loss: 0.05, Avg Rewards: -3.35, Time elapsed: 23.04s
[Model 12256] Epoch: 800, L_clip: -0.00, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.93, Time elapsed: 23.51s
[Model 12253] Epoch: 800, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.85, Time elapsed: 24.30s
[Model 12255] Epoch: 800, L_clip: 0.01, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.89, Time elapsed: 24.47s
[Model 12252] Epoch: 800, L_clip: -0.02, Squared loss: 0.02, Entropy loss: 0.05, Avg Rewards: -3.73, Time elapsed: 25.86s
[Model 12256] Epoch: 900, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.83, Time elapsed: 26.09s
[Model 12253] Epoch: 900, L_clip: -0.01, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.71, Time elapsed: 27.23s
[Model 12255] Epoch: 900, L_clip: -0.00, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.78, Time elapsed: 27.32s
[Model 12256] Epoch: 1000, L_clip: 0.00, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.86, Time elapsed: 28.77s
[Model 12255] Epoch: 1000, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.90, Time elapsed: 30.03s
[Model 12253] Epoch: 1000, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.78, Time elapsed: 30.11s
[Model 12256] Epoch: 1100, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.91, Time elapsed: 31.33s
[Model 12252] Epoch: 900, L_clip: 0.08, Squared loss: 0.03, Entropy loss: 0.05, Avg Rewards: -2.18, Time elapsed: 32.17s
[Model 12255] Epoch: 1100, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.91, Time elapsed: 32.80s
[Model 12253] Epoch: 1100, L_clip: -0.01, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.57, Time elapsed: 33.18s
[Model 12256] Epoch: 1200, L_clip: 0.00, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.79, Time elapsed: 34.07s
[Model 12255] Epoch: 1200, L_clip: 0.01, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.82, Time elapsed: 35.59s
[Model 12254] Epoch: 800, L_clip: 0.08, Squared loss: 0.05, Entropy loss: 0.04, Avg Rewards: 3.58, Time elapsed: 35.60s
[Model 12253] Epoch: 1200, L_clip: 0.01, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.29, Time elapsed: 36.54s
[Model 12256] Epoch: 1300, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.84, Time elapsed: 36.75s
[Model 12254] Epoch: 900, L_clip: -0.22, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.93, Time elapsed: 38.49s
[Model 12255] Epoch: 1300, L_clip: 0.00, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.76, Time elapsed: 38.57s
[Model 12256] Epoch: 1400, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.07, Avg Rewards: -4.91, Time elapsed: 39.40s
[Model 12253] Epoch: 1300, L_clip: 0.09, Squared loss: 0.02, Entropy loss: 0.06, Avg Rewards: -3.58, Time elapsed: 41.30s
[Model 12255] Epoch: 1400, L_clip: -0.04, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.72, Time elapsed: 41.30s
[Model 12256] Epoch: 1500, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.83, Time elapsed: 41.94s
[Model 12256] Epoch: 1600, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.75, Time elapsed: 44.57s
[Model 12255] Epoch: 1500, L_clip: 0.03, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.35, Time elapsed: 44.70s
[Model 12252] Epoch: 1000, L_clip: 0.07, Squared loss: 0.06, Entropy loss: 0.04, Avg Rewards: 4.62, Time elapsed: 45.67s
[Model 12256] Epoch: 1700, L_clip: -0.01, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.70, Time elapsed: 47.27s
[Model 12255] Epoch: 1600, L_clip: -0.00, Squared loss: 0.02, Entropy loss: 0.05, Avg Rewards: -3.43, Time elapsed: 49.84s
[Model 12254] Epoch: 1000, L_clip: 0.07, Squared loss: 0.05, Entropy loss: 0.05, Avg Rewards: 2.86, Time elapsed: 49.86s
[Model 12256] Epoch: 1800, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.77, Time elapsed: 49.90s
[Model 12256] Epoch: 1900, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.74, Time elapsed: 52.50s
[Model 12256] Epoch: 2000, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.72, Time elapsed: 55.02s
[Model 12255] Epoch: 1700, L_clip: -0.03, Squared loss: 0.04, Entropy loss: 0.05, Avg Rewards: -2.14, Time elapsed: 56.64s
[Model 12252] Epoch: 1100, L_clip: -0.29, Squared loss: 0.05, Entropy loss: 0.05, Avg Rewards: 3.16, Time elapsed: 57.68s
[Model 12256] Epoch: 2100, L_clip: 0.03, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.33, Time elapsed: 58.41s
