lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0
c2 = 0
epochs = 2500
K_epochs = 5
Total_random_runs = 5


[Model0] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model1] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model2] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model3] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model4] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]

[Model 12359] Epoch: 100, L_clip: -3.93, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -5.00, Time elapsed: 2.96s
[Model 12357] Epoch: 100, L_clip: -3.90, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.98, Time elapsed: 3.08s
[Model 12360] Epoch: 100, L_clip: -3.76, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.98, Time elapsed: 3.11s
[Model 12358] Epoch: 100, L_clip: -3.82, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.92, Time elapsed: 3.15s
[Model 12361] Epoch: 100, L_clip: -3.77, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.91, Time elapsed: 3.17s
[Model 12359] Epoch: 200, L_clip: -3.86, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.97, Time elapsed: 5.59s
[Model 12357] Epoch: 200, L_clip: -3.91, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.95, Time elapsed: 5.76s
[Model 12361] Epoch: 200, L_clip: -3.71, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.94, Time elapsed: 5.93s
[Model 12358] Epoch: 200, L_clip: -3.69, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.89, Time elapsed: 5.93s
[Model 12360] Epoch: 200, L_clip: -3.57, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.87, Time elapsed: 5.98s
[Model 12359] Epoch: 300, L_clip: -3.80, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.96, Time elapsed: 8.37s
[Model 12358] Epoch: 300, L_clip: -3.83, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.98, Time elapsed: 8.66s
[Model 12361] Epoch: 300, L_clip: -3.81, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.96, Time elapsed: 8.70s
[Model 12357] Epoch: 300, L_clip: -3.74, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.89, Time elapsed: 8.71s
[Model 12360] Epoch: 300, L_clip: -3.46, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.77, Time elapsed: 8.98s
[Model 12359] Epoch: 400, L_clip: -3.84, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.97, Time elapsed: 10.99s
[Model 12358] Epoch: 400, L_clip: -3.84, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.96, Time elapsed: 11.31s
[Model 12357] Epoch: 400, L_clip: -3.83, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.84, Time elapsed: 11.51s
[Model 12361] Epoch: 400, L_clip: -3.74, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.88, Time elapsed: 11.53s
[Model 12360] Epoch: 400, L_clip: -3.57, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.82, Time elapsed: 11.82s
[Model 12359] Epoch: 500, L_clip: -3.83, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.96, Time elapsed: 13.68s
[Model 12358] Epoch: 500, L_clip: -3.62, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.79, Time elapsed: 14.12s
[Model 12361] Epoch: 500, L_clip: -3.77, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.88, Time elapsed: 14.35s
[Model 12357] Epoch: 500, L_clip: -3.68, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.82, Time elapsed: 14.44s
[Model 12360] Epoch: 500, L_clip: -3.62, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.89, Time elapsed: 14.64s
[Model 12359] Epoch: 600, L_clip: -3.72, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.93, Time elapsed: 16.40s
[Model 12358] Epoch: 600, L_clip: -3.65, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.88, Time elapsed: 16.92s
[Model 12361] Epoch: 600, L_clip: -3.65, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.90, Time elapsed: 17.19s
[Model 12357] Epoch: 600, L_clip: -3.50, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.76, Time elapsed: 17.39s
[Model 12360] Epoch: 600, L_clip: -3.70, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.95, Time elapsed: 17.41s
[Model 12359] Epoch: 700, L_clip: -3.89, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.98, Time elapsed: 19.12s
[Model 12358] Epoch: 700, L_clip: -3.64, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.81, Time elapsed: 19.79s
[Model 12361] Epoch: 700, L_clip: -3.54, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.77, Time elapsed: 20.15s
[Model 12357] Epoch: 700, L_clip: -3.48, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.81, Time elapsed: 20.35s
[Model 12360] Epoch: 700, L_clip: -3.56, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.79, Time elapsed: 20.37s
[Model 12359] Epoch: 800, L_clip: -3.92, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.95, Time elapsed: 21.83s
[Model 12358] Epoch: 800, L_clip: -3.66, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.84, Time elapsed: 22.67s
[Model 12361] Epoch: 800, L_clip: -3.67, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.92, Time elapsed: 22.98s
[Model 12360] Epoch: 800, L_clip: -3.53, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.83, Time elapsed: 23.29s
[Model 12357] Epoch: 800, L_clip: -3.48, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.73, Time elapsed: 23.36s
[Model 12359] Epoch: 900, L_clip: -4.00, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.99, Time elapsed: 24.62s
