lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 1
c2 = 1
epochs = 2500
K_epochs = 5
Total_random_runs = 5


[Model0] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model1] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model2] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model4] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]

[Model 12418] Epoch: 100, L_clip: -0.22, Squared loss: 0.70, Entropy loss: 0.69, Avg Rewards: -5.00, Time elapsed: 2.92s
[Model 12421] Epoch: 100, L_clip: -0.22, Squared loss: 0.73, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 2.93s
[Model 12420] Epoch: 100, L_clip: -0.22, Squared loss: 0.72, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 2.98s
[Model 12419] Epoch: 100, L_clip: -0.25, Squared loss: 0.77, Entropy loss: 0.69, Avg Rewards: -5.00, Time elapsed: 3.01s
[Model 12417] Epoch: 100, L_clip: -0.21, Squared loss: 0.63, Entropy loss: 0.69, Avg Rewards: -5.00, Time elapsed: 3.05s
[Model 12418] Epoch: 200, L_clip: -0.00, Squared loss: 0.09, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 5.54s
[Model 12421] Epoch: 200, L_clip: -0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 5.56s
[Model 12419] Epoch: 200, L_clip: 0.01, Squared loss: 0.16, Entropy loss: 0.69, Avg Rewards: -4.96, Time elapsed: 5.70s
[Model 12420] Epoch: 200, L_clip: -0.00, Squared loss: 0.10, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 5.72s
[Model 12417] Epoch: 200, L_clip: -0.01, Squared loss: 0.11, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 5.85s
[Model 12418] Epoch: 300, L_clip: -0.00, Squared loss: 0.09, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 8.26s
[Model 12421] Epoch: 300, L_clip: -0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 8.28s
[Model 12420] Epoch: 300, L_clip: -0.00, Squared loss: 0.11, Entropy loss: 0.69, Avg Rewards: -4.97, Time elapsed: 8.43s
[Model 12419] Epoch: 300, L_clip: -0.01, Squared loss: 0.06, Entropy loss: 0.69, Avg Rewards: -5.00, Time elapsed: 8.48s
[Model 12417] Epoch: 300, L_clip: 0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 8.66s
[Model 12418] Epoch: 400, L_clip: -0.00, Squared loss: 0.10, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 11.07s
[Model 12421] Epoch: 400, L_clip: -0.00, Squared loss: 0.08, Entropy loss: 0.69, Avg Rewards: -4.99, Time elapsed: 11.08s
[Model 12419] Epoch: 400, L_clip: 0.00, Squared loss: 0.11, Entropy loss: 0.69, Avg Rewards: -4.98, Time elapsed: 11.31s
