# Hyperparameters
lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0.0001
c2 = 0.01
epochs = 2500
K_epochs = 5
Total_random_runs = 5

[Model0] Layers: 3, Setup: [[8, 1024], [1024, 512], [512, 2048]]
[Model1] Layers: 3, Setup: [[8, 1024], [1024, 512], [512, 2048]]
[Model2] Layers: 3, Setup: [[8, 1024], [1024, 512], [512, 2048]]
[Model3] Layers: 3, Setup: [[8, 1024], [1024, 512], [512, 2048]]
[Model4] Layers: 3, Setup: [[8, 1024], [1024, 512], [512, 2048]]

[Model 12551] Epoch: 100, L_clip: -1.81, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.96, Time elapsed: 10.25s
[Model 12552] Epoch: 100, L_clip: -1.68, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.99, Time elapsed: 10.28s
[Model 12550] Epoch: 100, L_clip: -2.15, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.92, Time elapsed: 10.35s
[Model 12548] Epoch: 100, L_clip: -2.08, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.88, Time elapsed: 10.56s
[Model 12549] Epoch: 100, L_clip: -1.57, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.93, Time elapsed: 10.63s
[Model 12552] Epoch: 200, L_clip: -0.93, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.93, Time elapsed: 20.00s
[Model 12550] Epoch: 200, L_clip: -0.31, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.82, Time elapsed: 20.30s
[Model 12551] Epoch: 200, L_clip: -0.29, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.90, Time elapsed: 20.51s
[Model 12548] Epoch: 200, L_clip: -0.81, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.91, Time elapsed: 20.54s
[Model 12549] Epoch: 200, L_clip: -0.22, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.96, Time elapsed: 20.59s
[Model 12552] Epoch: 300, L_clip: -0.37, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.82, Time elapsed: 29.55s
[Model 12551] Epoch: 300, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.98, Time elapsed: 29.82s
[Model 12550] Epoch: 300, L_clip: -0.15, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.76, Time elapsed: 29.88s
[Model 12549] Epoch: 300, L_clip: -0.10, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.98, Time elapsed: 29.94s
[Model 12548] Epoch: 300, L_clip: -0.17, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.83, Time elapsed: 30.30s
[Model 12551] Epoch: 400, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -5.00, Time elapsed: 39.28s
[Model 12550] Epoch: 400, L_clip: -0.18, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.70, Time elapsed: 39.30s
[Model 12552] Epoch: 400, L_clip: -0.22, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.65, Time elapsed: 39.32s
[Model 12549] Epoch: 400, L_clip: -0.07, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.90, Time elapsed: 39.54s
[Model 12548] Epoch: 400, L_clip: -0.26, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.92, Time elapsed: 39.57s
[Model 12550] Epoch: 500, L_clip: -0.12, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.93, Time elapsed: 48.86s
[Model 12551] Epoch: 500, L_clip: -0.25, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.94, Time elapsed: 48.94s
[Model 12552] Epoch: 500, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.99, Time elapsed: 49.09s
[Model 12548] Epoch: 500, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.75, Time elapsed: 49.94s
[Model 12549] Epoch: 500, L_clip: -0.08, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.74, Time elapsed: 50.00s
[Model 12552] Epoch: 600, L_clip: -0.16, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -5.00, Time elapsed: 58.69s
[Model 12551] Epoch: 600, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.73, Time elapsed: 59.13s
[Model 12550] Epoch: 600, L_clip: -0.04, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.57, Time elapsed: 59.23s
[Model 12548] Epoch: 600, L_clip: 0.01, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.66, Time elapsed: 60.06s
[Model 12549] Epoch: 600, L_clip: -0.10, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.73, Time elapsed: 60.25s
[Model 12552] Epoch: 700, L_clip: -0.05, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -5.00, Time elapsed: 68.01s
[Model 12551] Epoch: 700, L_clip: -0.04, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.73, Time elapsed: 68.53s
[Model 12550] Epoch: 700, L_clip: -0.22, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.63, Time elapsed: 68.85s
[Model 12548] Epoch: 700, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.80, Time elapsed: 69.66s
[Model 12549] Epoch: 700, L_clip: -0.09, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.75, Time elapsed: 69.74s
[Model 12552] Epoch: 800, L_clip: -0.05, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.96, Time elapsed: 77.13s
[Model 12551] Epoch: 800, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.82, Time elapsed: 78.10s
[Model 12550] Epoch: 800, L_clip: -0.32, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.71, Time elapsed: 78.45s
[Model 12549] Epoch: 800, L_clip: -0.05, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.83, Time elapsed: 79.52s
[Model 12548] Epoch: 800, L_clip: -0.04, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.62, Time elapsed: 79.54s
[Model 12552] Epoch: 900, L_clip: -0.06, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.95, Time elapsed: 86.49s
[Model 12551] Epoch: 900, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.55, Time elapsed: 88.47s
[Model 12549] Epoch: 900, L_clip: -0.09, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.88, Time elapsed: 89.05s
[Model 12550] Epoch: 900, L_clip: -0.09, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.32, Time elapsed: 89.19s
[Model 12548] Epoch: 900, L_clip: 0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -3.66, Time elapsed: 92.60s
[Model 12552] Epoch: 1000, L_clip: -0.07, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.94, Time elapsed: 95.87s
[Model 12549] Epoch: 1000, L_clip: -0.13, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.74, Time elapsed: 98.60s
[Model 12550] Epoch: 1000, L_clip: -0.26, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.51, Time elapsed: 99.21s
[Model 12551] Epoch: 1000, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.06, Time elapsed: 99.96s
[Model 12552] Epoch: 1100, L_clip: -0.06, Squared loss: 0.00, Entropy loss: 0.01, Avg Rewards: -4.96, Time elapsed: 105.13s
[Model 12549] Epoch: 1100, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.92, Time elapsed: 108.04s
[Model 12550] Epoch: 1100, L_clip: -0.04, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.63, Time elapsed: 109.06s
[Model 12551] Epoch: 1100, L_clip: -0.09, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.62, Time elapsed: 110.16s
[Model 12548] Epoch: 1000, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -0.62, Time elapsed: 113.33s
[Model 12552] Epoch: 1200, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.86, Time elapsed: 114.81s
[Model 12549] Epoch: 1200, L_clip: -0.12, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.74, Time elapsed: 118.39s
[Model 12550] Epoch: 1200, L_clip: -0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.41, Time elapsed: 119.76s
[Model 12551] Epoch: 1200, L_clip: 0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -3.95, Time elapsed: 122.11s
[Model 12552] Epoch: 1300, L_clip: -0.03, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.70, Time elapsed: 124.70s
[Model 12549] Epoch: 1300, L_clip: -0.07, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.65, Time elapsed: 128.81s
[Model 12550] Epoch: 1300, L_clip: 0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.04, Time elapsed: 131.07s
[Model 12551] Epoch: 1300, L_clip: -0.00, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -3.48, Time elapsed: 135.15s
[Model 12552] Epoch: 1400, L_clip: 0.02, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.35, Time elapsed: 135.39s
[Model 12548] Epoch: 1100, L_clip: -0.30, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -0.09, Time elapsed: 135.94s
[Model 12549] Epoch: 1400, L_clip: -0.10, Squared loss: 0.00, Entropy loss: 0.00, Avg Rewards: -4.12, Time elapsed: 140.14s
