
lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0.01*0.01
c2 = 0.1*0.1
epochs = 3000
K_epochs = 5


[Model1] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model2] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model3] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model4] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model5] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model6] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model7] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model8] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model9] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]

[Model 6586] Epoch: 100, L_clip: -3.37, Squared loss: 0.12, Entropy loss: 0.07, Avg Rewards: -4.93, Time elapsed: 5.00s
[Model 6580] Epoch: 100, L_clip: -3.26, Squared loss: 0.11, Entropy loss: 0.06, Avg Rewards: -4.97, Time elapsed: 5.12s
[Model 6589] Epoch: 100, L_clip: -3.03, Squared loss: 0.10, Entropy loss: 0.05, Avg Rewards: -4.96, Time elapsed: 5.22s
[Model 6588] Epoch: 100, L_clip: -3.27, Squared loss: 0.11, Entropy loss: 0.06, Avg Rewards: -4.98, Time elapsed: 5.29s
[Model 6584] Epoch: 100, L_clip: -3.42, Squared loss: 0.12, Entropy loss: 0.07, Avg Rewards: -4.92, Time elapsed: 5.34s
[Model 6585] Epoch: 100, L_clip: -3.11, Squared loss: 0.10, Entropy loss: 0.06, Avg Rewards: -4.98, Time elapsed: 5.44s
[Model 6587] Epoch: 100, L_clip: -3.00, Squared loss: 0.10, Entropy loss: 0.05, Avg Rewards: -4.95, Time elapsed: 5.50s
[Model 6583] Epoch: 100, L_clip: -3.27, Squared loss: 0.11, Entropy loss: 0.06, Avg Rewards: -4.88, Time elapsed: 5.47s
[Model 6582] Epoch: 100, L_clip: -3.28, Squared loss: 0.11, Entropy loss: 0.06, Avg Rewards: -4.90, Time elapsed: 5.56s
[Model 6581] Epoch: 100, L_clip: -2.68, Squared loss: 0.09, Entropy loss: 0.05, Avg Rewards: -4.93, Time elapsed: 5.61s
[Model 6580] Epoch: 200, L_clip: -1.90, Squared loss: 0.04, Entropy loss: 0.06, Avg Rewards: -4.99, Time elapsed: 10.13s
[Model 6584] Epoch: 200, L_clip: -2.32, Squared loss: 0.06, Entropy loss: 0.06, Avg Rewards: -4.92, Time elapsed: 10.23s
[Model 6586] Epoch: 200, L_clip: -2.60, Squared loss: 0.07, Entropy loss: 0.06, Avg Rewards: -4.94, Time elapsed: 10.29s
[Model 6587] Epoch: 200, L_clip: -1.07, Squared loss: 0.03, Entropy loss: 0.04, Avg Rewards: -4.90, Time elapsed: 10.49s
[Model 6588] Epoch: 200, L_clip: -1.97, Squared loss: 0.04, Entropy loss: 0.06, Avg Rewards: -5.00, Time elapsed: 10.44s
[Model 6589] Epoch: 200, L_clip: -1.34, Squared loss: 0.03, Entropy loss: 0.05, Avg Rewards: -4.90, Time elapsed: 10.47s
[Model 6585] Epoch: 200, L_clip: -1.97, Squared loss: 0.05, Entropy loss: 0.06, Avg Rewards: -4.93, Time elapsed: 10.62s
[Model 6582] Epoch: 200, L_clip: -1.79, Squared loss: 0.04, Entropy loss: 0.06, Avg Rewards: -4.89, Time elapsed: 10.68s
[Model 6581] Epoch: 200, L_clip: -0.41, Squared loss: 0.01, Entropy loss: 0.03, Avg Rewards: -4.77, Time elapsed: 10.76s
[Model 6583] Epoch: 200, L_clip: -2.31, Squared loss: 0.06, Entropy loss: 0.06, Avg Rewards: -4.88, Time elapsed: 10.83s
[Model 6584] Epoch: 300, L_clip: -1.40, Squared loss: 0.03, Entropy loss: 0.06, Avg Rewards: -4.87, Time elapsed: 15.15s
[Model 6586] Epoch: 300, L_clip: -1.89, Squared loss: 0.04, Entropy loss: 0.06, Avg Rewards: -4.85, Time elapsed: 15.15s
[Model 6580] Epoch: 300, L_clip: -1.10, Squared loss: 0.02, Entropy loss: 0.05, Avg Rewards: -4.92, Time elapsed: 15.18s
[Model 6588] Epoch: 300, L_clip: -0.86, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.98, Time elapsed: 15.50s
[Model 6589] Epoch: 300, L_clip: -0.04, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.84, Time elapsed: 15.50s
[Model 6587] Epoch: 300, L_clip: -0.06, Squared loss: 0.01, Entropy loss: 0.03, Avg Rewards: -4.78, Time elapsed: 15.68s
[Model 6582] Epoch: 300, L_clip: -0.80, Squared loss: 0.02, Entropy loss: 0.06, Avg Rewards: -4.74, Time elapsed: 15.71s
[Model 6585] Epoch: 300, L_clip: -1.16, Squared loss: 0.02, Entropy loss: 0.06, Avg Rewards: -4.85, Time elapsed: 15.72s
[Model 6581] Epoch: 300, L_clip: -0.07, Squared loss: 0.01, Entropy loss: 0.02, Avg Rewards: -4.75, Time elapsed: 16.07s
[Model 6583] Epoch: 300, L_clip: -0.91, Squared loss: 0.02, Entropy loss: 0.04, Avg Rewards: -4.95, Time elapsed: 16.08s
[Model 6580] Epoch: 400, L_clip: -0.05, Squared loss: 0.01, Entropy loss: 0.03, Avg Rewards: -4.81, Time elapsed: 20.12s
[Model 6586] Epoch: 400, L_clip: -1.54, Squared loss: 0.03, Entropy loss: 0.06, Avg Rewards: -4.89, Time elapsed: 20.13s
[Model 6584] Epoch: 400, L_clip: -0.53, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.89, Time elapsed: 20.28s
[Model 6585] Epoch: 400, L_clip: -0.32, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.97, Time elapsed: 20.69s
[Model 6589] Epoch: 400, L_clip: -0.20, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.83, Time elapsed: 20.70s
[Model 6588] Epoch: 400, L_clip: -0.21, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.87, Time elapsed: 20.87s
