07/02/2026

model 5827 best

lr = 0.0001
epsilon = 0.1
gamma = 0.99
c0 = 1
c1 = 0.01*0.01
c2 = 0.1*0.1
epochs = 2500
K_epochs = 5


Starting 10 parallel training runs...

[Model0] Layers: 5, Setup: [[8, 256], [256, 256], [256, 4], [4, 128], [128, 512]]
[Model1] Layers: 5, Setup: [[8, 256], [256, 256], [256, 4], [4, 512], [512, 1024]]
[Model2] Layers: 5, Setup: [[8, 256], [256, 128], [128, 8], [8, 128], [128, 1024]]
[Model3] Layers: 5, Setup: [[8, 256], [256, 64], [64, 16], [16, 512], [512, 1024]]
[Model4] Layers: 5, Setup: [[8, 256], [256, 128], [128, 16], [16, 128], [128, 1024]]
[Model5] Layers: 5, Setup: [[8, 256], [256, 256], [256, 16], [16, 512], [512, 256]]
[Model6] Layers: 5, Setup: [[8, 1024], [1024, 128], [128, 16], [16, 256], [256, 256]]
[Model7] Layers: 5, Setup: [[8, 256], [256, 64], [64, 16], [16, 512], [512, 1024]]
[Model8] Layers: 5, Setup: [[8, 256], [256, 128], [128, 16], [16, 128], [128, 512]]
[Model9] Layers: 5, Setup: [[8, 512], [512, 128], [128, 8], [8, 512], [512, 1024]]


[Model 5826] Epoch: 100, L_clip: -2.15, Squared loss: 0.06, Entropy loss: 0.06, Avg Rewards: -4.93, Time elapsed: 5.71s
[Model 5830] Epoch: 100, L_clip: -2.69, Squared loss: 0.08, Entropy loss: 0.07, Avg Rewards: -4.96, Time elapsed: 5.90s
[Model 5832] Epoch: 100, L_clip: -2.59, Squared loss: 0.08, Entropy loss: 0.06, Avg Rewards: -4.96, Time elapsed: 6.11s
[Model 5829] Epoch: 100, L_clip: -1.85, Squared loss: 0.05, Entropy loss: 0.07, Avg Rewards: -4.98, Time elapsed: 6.13s
[Model 5824] Epoch: 100, L_clip: -1.55, Squared loss: 0.04, Entropy loss: 0.06, Avg Rewards: -4.98, Time elapsed: 6.54s
[Model 5823] Epoch: 100, L_clip: -3.40, Squared loss: 0.12, Entropy loss: 0.06, Avg Rewards: -4.98, Time elapsed: 6.57s
[Model 5827] Epoch: 100, L_clip: -2.65, Squared loss: 0.08, Entropy loss: 0.05, Avg Rewards: -4.94, Time elapsed: 6.69s
[Model 5825] Epoch: 100, L_clip: -2.29, Squared loss: 0.06, Entropy loss: 0.06, Avg Rewards: -4.89, Time elapsed: 6.79s
[Model 5828] Epoch: 100, L_clip: -2.22, Squared loss: 0.06, Entropy loss: 0.07, Avg Rewards: -5.00, Time elapsed: 6.85s
[Model 5831] Epoch: 100, L_clip: -1.91, Squared loss: 0.05, Entropy loss: 0.07, Avg Rewards: -4.96, Time elapsed: 6.87s
[Model 5832] Epoch: 200, L_clip: -0.38, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.87, Time elapsed: 10.77s
[Model 5826] Epoch: 200, L_clip: -0.51, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.91, Time elapsed: 10.78s
[Model 5829] Epoch: 200, L_clip: -0.29, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.87, Time elapsed: 11.13s
[Model 5830] Epoch: 200, L_clip: -1.03, Squared loss: 0.02, Entropy loss: 0.06, Avg Rewards: -4.84, Time elapsed: 11.14s
[Model 5827] Epoch: 200, L_clip: -1.59, Squared loss: 0.03, Entropy loss: 0.07, Avg Rewards: -4.98, Time elapsed: 11.83s
[Model 5823] Epoch: 200, L_clip: -1.98, Squared loss: 0.05, Entropy loss: 0.06, Avg Rewards: -4.91, Time elapsed: 12.18s
[Model 5828] Epoch: 200, L_clip: -0.51, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.93, Time elapsed: 12.57s
[Model 5824] Epoch: 200, L_clip: -0.06, Squared loss: 0.00, Entropy loss: 0.05, Avg Rewards: -4.99, Time elapsed: 12.57s
[Model 5825] Epoch: 200, L_clip: -0.54, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.75, Time elapsed: 12.89s
[Model 5831] Epoch: 200, L_clip: -0.16, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.91, Time elapsed: 12.89s
[Model 5832] Epoch: 300, L_clip: -0.31, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.88, Time elapsed: 15.67s
[Model 5826] Epoch: 300, L_clip: -0.10, Squared loss: 0.00, Entropy loss: 0.04, Avg Rewards: -4.86, Time elapsed: 15.95s
[Model 5829] Epoch: 300, L_clip: -0.06, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.81, Time elapsed: 16.12s
[Model 5830] Epoch: 300, L_clip: -0.17, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.75, Time elapsed: 16.28s
[Model 5827] Epoch: 300, L_clip: -0.63, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.90, Time elapsed: 17.19s
[Model 5823] Epoch: 300, L_clip: -0.37, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.96, Time elapsed: 17.60s
[Model 5828] Epoch: 300, L_clip: -0.12, Squared loss: 0.00, Entropy loss: 0.05, Avg Rewards: -5.00, Time elapsed: 18.58s
[Model 5824] Epoch: 300, L_clip: -0.04, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.80, Time elapsed: 18.81s
[Model 5825] Epoch: 300, L_clip: -0.24, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.78, Time elapsed: 19.14s
[Model 5831] Epoch: 300, L_clip: -0.08, Squared loss: 0.00, Entropy loss: 0.06, Avg Rewards: -4.92, Time elapsed: 19.14s
[Model 5832] Epoch: 400, L_clip: -0.20, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.80, Time elapsed: 20.93s
[Model 5826] Epoch: 400, L_clip: 0.03, Squared loss: 0.00, Entropy loss: 0.04, Avg Rewards: -4.63, Time elapsed: 21.29s
[Model 5829] Epoch: 400, L_clip: -0.01, Squared loss: 0.00, Entropy loss: 0.04, Avg Rewards: -4.83, Time elapsed: 21.55s
[Model 5830] Epoch: 400, L_clip: -0.21, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.61, Time elapsed: 21.87s
[Model 5827] Epoch: 400, L_clip: -0.31, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.80, Time elapsed: 23.21s
[Model 5823] Epoch: 400, L_clip: -0.87, Squared loss: 0.02, Entropy loss: 0.06, Avg Rewards: -4.72, Time elapsed: 23.48s
[Model 5828] Epoch: 400, L_clip: 0.02, Squared loss: 0.00, Entropy loss: 0.03, Avg Rewards: -4.98, Time elapsed: 24.94s
[Model 5825] Epoch: 400, L_clip: -0.27, Squared loss: 0.01, Entropy loss: 0.06, Avg Rewards: -4.74, Time elapsed: 25.62s
[Model 5824] Epoch: 400, L_clip: -0.06, Squared loss: 0.01, Entropy loss: 0.05, Avg Rewards: -4.80, Time elapsed: 25.61s
[Model 5831] Epoch: 400, L_clip: -0.04, Squared loss: 0.00, Entropy loss: 0.05, Avg Rewards: -4.88, Time elapsed: 25.77s
[Model 5832] Epoch: 500, L_clip: -0.14, Squared loss: 0.01, Entropy loss: 0.04, Avg Rewards: -4.78, Time elapsed: 25.89s
[Model 5829] Epoch: 500, L_clip: 0.06, Squared loss: 0.00, Entropy loss: 0.03, Avg Rewards: -4.87, Time elapsed: 26.52s
[Model 5826] Epoch: 500, L_clip: -0.07, Squared loss: 0.00, Entropy loss: 0.05, Avg Rewards: -4.78, Time elapsed: 26.62s
